time	acc	vel	disp
0	-0.00050451	0	0
0.005	-0.000502729	-2.5181e-006	-6.29524e-009
0.01	-0.000503954	-5.03481e-006	-2.51775e-008
0.015	-0.000501828	-7.54926e-006	-5.66377e-008
0.02	-0.000502663	-1.00605e-005	-1.00662e-007
0.025	-0.000500202	-1.25677e-005	-1.57232e-007
0.03	-0.00050083	-1.50702e-005	-2.26327e-007
0.035	-0.0004983	-1.75681e-005	-3.07923e-007
0.04	-0.000498907	-2.00611e-005	-4.01996e-007
0.045	-0.000496083	-2.25485e-005	-5.0852e-007
0.05	-0.000496377	-2.50297e-005	-6.27465e-007
0.055	-0.00049376	-2.7505e-005	-7.58802e-007
0.06	-0.00049466	-2.99761e-005	-9.02505e-007
0.065	-0.000493083	-3.24454e-005	-1.05856e-006
0.07	-0.00049585	-3.49178e-005	-1.22697e-006
0.075	-0.00049622	-3.7398e-005	-1.40776e-006
0.08	-0.000499882	-3.98882e-005	-1.60097e-006
0.085	-0.000500441	-4.2389e-005	-1.80666e-006
0.09	-0.000503396	-4.48986e-005	-2.02488e-006
0.095	-0.000500465	-4.74083e-005	-2.25565e-006
0.1	-0.000498278	-4.99051e-005	-2.49893e-006
0.105	-0.000491319	-5.23791e-005	-2.75464e-006
0.11	-0.00048527	-5.48206e-005	-3.02264e-006
0.115	-0.000474444	-5.72199e-005	-3.30275e-006
0.12	-0.00047027	-5.95817e-005	-3.59475e-006
0.125	-0.00046982	-6.19319e-005	-3.89853e-006
0.13	-0.000479198	-6.43044e-005	-4.21412e-006
0.135	-0.000487037	-6.672e-005	-4.54168e-006
0.14	-0.000495055	-6.91752e-005	-4.88142e-006
0.145	-0.000495602	-7.16519e-005	-5.23349e-006
0.15	-0.000498218	-7.41364e-005	-5.59796e-006
0.155	-0.000501258	-7.66351e-005	-5.97489e-006
0.16	-0.000505018	-7.91508e-005	-6.36436e-006
0.165	-0.000495852	-8.1653e-005	-6.76636e-006
0.17	-0.000483498	-8.41014e-005	-7.18075e-006
0.175	-0.000464634	-8.64717e-005	-7.60718e-006
0.18	-0.000451016	-8.87608e-005	-8.04526e-006
0.185	-0.000435627	-9.09774e-005	-8.49461e-006
0.19	-0.000424485	-9.31277e-005	-8.95487e-006
0.195	-0.000413272	-9.52221e-005	-9.42575e-006
0.2	-0.000413971	-9.72902e-005	-9.90703e-006
0.205	-0.000420661	-9.93768e-005	-1.03987e-005
0.21	-0.000436735	-0.00010152	-1.09009e-005
0.215	-0.000449181	-0.000103735	-1.14141e-005
0.22	-0.000465808	-0.000106023	-1.19385e-005
0.225	-0.00048103	-0.00010839	-1.24745e-005
0.23	-0.000499887	-0.000110842	-1.30226e-005
0.235	-0.000508655	-0.000113363	-1.35831e-005
0.24	-0.000508332	-0.000115906	-1.41563e-005
0.245	-0.000497419	-0.00011842	-1.47421e-005
0.25	-0.000488646	-0.000120885	-1.53403e-005
0.255	-0.000486513	-0.000123323	-1.59509e-005
0.26	-0.000502931	-0.000125797	-1.65737e-005
0.265	-0.000525094	-0.000128367	-1.72091e-005
0.27	-0.000539465	-0.000131028	-1.78576e-005
0.275	-0.000523851	-0.000133687	-1.85193e-005
0.28	-0.000499194	-0.000136244	-1.91942e-005
0.285	-0.000464493	-0.000138653	-1.98814e-005
0.29	-0.000432876	-0.000140897	-2.05803e-005
0.295	-0.000398966	-0.000142976	-2.129e-005
0.3	-0.000375677	-0.000144913	-2.20097e-005
0.305	-0.000364181	-0.000146763	-2.27389e-005
0.31	-0.000366977	-0.000148591	-2.34773e-005
0.315	-0.000358076	-0.000150403	-2.42248e-005
0.32	-0.00035286	-0.000152181	-2.49812e-005
0.325	-0.000347638	-0.000153932	-2.57465e-005
0.33	-0.000335186	-0.000155639	-2.65204e-005
0.335	-0.000321255	-0.00015728	-2.73027e-005
0.34	-0.000352421	-0.000158964	-2.80933e-005
0.345	-0.00043535	-0.000160934	-2.88931e-005
0.35	-0.000558341	-0.000163418	-2.9704e-005
0.355	-0.000659066	-0.000166461	-3.05287e-005
0.36	-0.000711208	-0.000169887	-3.13695e-005
0.365	-0.000702262	-0.000173421	-3.22278e-005
0.37	-0.000649815	-0.000176801	-3.31033e-005
0.375	-0.00055222	-0.000179806	-3.39949e-005
0.38	-0.000440949	-0.000182289	-3.49001e-005
0.385	-0.000344421	-0.000184252	-3.58165e-005
0.39	-0.000317997	-0.000185908	-3.67419e-005
0.395	-0.000351121	-0.000187581	-3.76756e-005
0.4	-0.000406412	-0.000189475	-3.86182e-005
0.405	-0.000428042	-0.000191561	-3.95708e-005
0.41	-0.000410204	-0.000193657	-4.05339e-005
0.415	-0.000374358	-0.000195618	-4.1507e-005
0.42	-0.000324142	-0.000197364	-4.24895e-005
0.425	-0.000260937	-0.000198827	-4.348e-005
0.43	-0.000241922	-0.000200084	-4.44773e-005
0.435	-0.000279366	-0.000201387	-4.54809e-005
