time	acc	vel	disp
0	-0.0002755	0	0
0.005	-0.00024956	-1.31265e-006	-3.28162e-009
0.01	-0.00022952	-2.51035e-006	-1.28391e-008
0.015	-0.00010773	-3.35347e-006	-2.74987e-008
0.02	8.638e-005	-3.40685e-006	-4.43995e-008
0.025	0.00016803	-2.77082e-006	-5.98437e-008
0.03	7.4522e-005	-2.16444e-006	-7.21819e-008
0.035	-7.5907e-005	-2.16791e-006	-8.30127e-008
0.04	-0.0002233	-2.91592e-006	-9.57223e-008
0.045	-0.00029219	-4.20465e-006	-1.13524e-007
0.05	-0.00026638	-5.60107e-006	-1.38038e-007
0.055	-0.00017577	-6.70645e-006	-1.68807e-007
0.06	4.0002e-005	-7.04587e-006	-2.03188e-007
0.065	0.0001805	-6.49461e-006	-2.37039e-007
0.07	0.00015201	-5.66334e-006	-2.67434e-007
0.075	0.00014111	-4.93054e-006	-2.93918e-007
0.08	0.00018558	-4.11381e-006	-3.16529e-007
0.085	0.00012129	-3.34664e-006	-3.35181e-007
0.09	1.1782e-005	-3.01396e-006	-3.51082e-007
0.095	-2.0962e-005	-3.03691e-006	-3.66209e-007
0.1	6.3773e-006	-3.07337e-006	-3.81485e-007
0.105	-1.005e-006	-3.05994e-006	-3.96818e-007
0.11	-5.6017e-006	-3.07646e-006	-4.12159e-007
0.115	9.0794e-005	-2.86348e-006	-4.27009e-007
0.12	0.00015736	-2.24309e-006	-4.39775e-007
0.125	5.2997e-005	-1.7172e-006	-4.49676e-007
0.13	-9.962e-005	-1.83376e-006	-4.58554e-007
0.135	-0.00017028	-2.50851e-006	-4.69409e-007
0.14	-0.00016019	-3.33468e-006	-4.84017e-007
0.145	-0.00010694	-4.00251e-006	-5.0236e-007
0.15	-2.7201e-005	-4.33786e-006	-5.23211e-007
0.155	8.0343e-005	-4.205e-006	-5.44568e-007
0.16	0.00016881	-3.58212e-006	-5.64036e-007
0.165	0.0002319	-2.58035e-006	-5.79442e-007
0.17	0.00026122	-1.34755e-006	-5.89262e-007
0.175	0.00019356	-2.10597e-007	-5.93157e-007
0.18	0.00015345	6.56928e-007	-5.92041e-007
0.185	7.5965e-005	1.23047e-006	-5.87323e-007
0.19	-7.3486e-005	1.23666e-006	-5.81155e-007
0.195	-0.00019703	5.60373e-007	-5.76663e-007
0.2	-0.00023913	-5.30027e-007	-5.76587e-007
0.205	-0.00019753	-1.62168e-006	-5.81966e-007
0.21	-0.00016047	-2.51668e-006	-5.92312e-007
0.215	-9.4849e-005	-3.15497e-006	-6.06491e-007
0.22	5.1769e-005	-3.26267e-006	-6.22535e-007
0.225	0.00015676	-2.74135e-006	-6.37545e-007
0.23	7.5002e-005	-2.16195e-006	-6.49803e-007
0.235	-2.8047e-005	-2.04456e-006	-6.6032e-007
0.24	6.1408e-006	-2.09932e-006	-6.70679e-007
0.245	6.0289e-005	-1.93325e-006	-6.80761e-007
0.25	0.00010254	-1.52618e-006	-6.89409e-007
0.255	0.00016863	-8.48253e-007	-6.95346e-007
0.26	0.0002119	1.03072e-007	-6.97208e-007
0.265	0.00010586	8.97472e-007	-6.94707e-007
0.27	-1.5454e-005	1.12349e-006	-6.89655e-007
0.275	-9.2679e-005	8.53155e-007	-6.84713e-007
0.28	-0.00015725	2.28332e-007	-6.82009e-007
0.285	-0.00024311	-7.72568e-007	-6.8337e-007
0.29	-0.00031557	-2.16927e-006	-6.90725e-007
0.295	-0.00026203	-3.61327e-006	-7.05181e-007
0.3	-5.5273e-005	-4.40653e-006	-7.2523e-007
0.305	0.00022914	-3.97186e-006	-7.46176e-007
0.31	0.0004037	-2.38976e-006	-7.6208e-007
0.315	0.00042187	-3.25833e-007	-7.68869e-007
0.32	0.00038019	1.67932e-006	-7.65486e-007
0.325	0.00033722	3.47284e-006	-7.52605e-007
0.33	0.00020845	4.83702e-006	-7.31831e-007
0.335	4.7306e-005	5.47641e-006	-7.06047e-007
0.34	-4.9945e-005	5.46981e-006	-6.78682e-007
0.345	-0.00012651	5.02867e-006	-6.52435e-007
0.35	-0.00020068	4.2107e-006	-6.29337e-007
0.355	-0.00020027	3.20832e-006	-6.10789e-007
0.36	-0.00016805	2.28752e-006	-5.9705e-007
0.365	-0.00015844	1.4713e-006	-5.87653e-007
0.37	-7.6898e-005	8.82952e-007	-5.81767e-007
0.375	4.293e-005	7.98032e-007	-5.77565e-007
0.38	0.00011404	1.19046e-006	-5.72593e-007
0.385	0.00011326	1.75871e-006	-5.6522e-007
0.39	0.00011535	2.33023e-006	-5.54998e-007
0.395	0.00016487	3.03078e-006	-5.41596e-007
0.4	0.00024083	4.04503e-006	-5.23906e-007
0.405	0.00024375	5.25648e-006	-5.00652e-007
0.41	8.1341e-005	6.06921e-006	-4.72338e-007
0.415	-0.00022919	5.69959e-006	-4.42916e-007
0.42	-0.00049472	3.88981e-006	-4.18943e-007
0.425	-0.00063843	1.05694e-006	-4.06576e-007
0.43	-0.00067772	-2.23344e-006	-4.09517e-007
0.435	-0.00060459	-5.43921e-006	-4.28699e-007
0.44	-0.00039943	-7.94926e-006	-4.6217e-007
0.445	-0.00012088	-9.25004e-006	-5.05168e-007
0.45	0.00018459	-9.09076e-006	-5.5102e-007
0.455	0.00039423	-7.64371e-006	-5.92856e-007
0.46	0.00042171	-5.60386e-006	-6.25975e-007
0.465	0.00031503	-3.76201e-006	-6.4939e-007
0.47	0.00016176	-2.57004e-006	-6.6522e-007
0.475	-5.5911e-005	-2.30542e-006	-6.77409e-007
0.48	-0.00025984	-3.09479e-006	-6.90909e-007
0.485	-0.00039663	-4.73597e-006	-7.10486e-007
0.49	-0.0005241	-7.03779e-006	-7.3992e-007
0.495	-0.00047089	-9.52527e-006	-7.81328e-007
0.5	-0.00024613	-1.13178e-005	-8.33436e-007
0.505	-7.4191e-005	-1.21186e-005	-8.92027e-007
0.51	-8.265e-005	-1.25107e-005	-9.536e-007
0.515	-0.00019032	-1.31931e-005	-1.01786e-006
0.52	-0.00016329	-1.40772e-005	-1.08604e-006
0.525	8.013e-006	-1.44654e-005	-1.15739e-006
0.53	0.00015401	-1.40603e-005	-1.22871e-006
0.535	0.00021241	-1.31443e-005	-1.29672e-006
0.54	0.00030389	-1.18535e-005	-1.35921e-006
0.545	0.00048955	-9.86991e-006	-1.41352e-006
0.55	0.00051597	-7.35611e-006	-1.45659e-006
0.555	0.00034813	-5.19586e-006	-1.48797e-006
0.56	0.0001472	-3.95753e-006	-1.51085e-006
0.565	-6.705e-005	-3.75716e-006	-1.53014e-006
0.57	-0.00033954	-4.77363e-006	-1.55146e-006
0.575	-0.00056938	-7.04593e-006	-1.58101e-006
0.58	-0.00061952	-1.00182e-005	-1.62367e-006
0.585	-0.00045285	-1.26991e-005	-1.68047e-006
0.59	-9.4358e-005	-1.40671e-005	-1.74738e-006
0.595	0.00030692	-1.35357e-005	-1.81639e-006
0.6	0.00056297	-1.1361e-005	-1.87863e-006
0.605	0.00062435	-8.3927e-006	-1.92801e-006
0.61	0.00048182	-5.62727e-006	-1.96306e-006
0.615	0.00014687	-4.05555e-006	-1.98727e-006
0.62	-0.00016725	-4.1065e-006	-2.00768e-006
0.625	-0.00038665	-5.49125e-006	-2.03167e-006
0.63	-0.00050151	-7.71165e-006	-2.06468e-006
0.635	-0.00039788	-9.96012e-006	-2.10886e-006
0.64	-0.00012876	-1.12767e-005	-2.16195e-006
0.645	0.00011141	-1.13201e-005	-2.21844e-006
0.65	0.00021312	-1.05088e-005	-2.27301e-006
0.655	0.00021063	-9.4494e-006	-2.32291e-006
0.66	0.00020294	-8.41547e-006	-2.36757e-006
0.665	0.00012152	-7.60432e-006	-2.40762e-006
0.67	-6.1344e-005	-7.45388e-006	-2.44527e-006
0.675	-0.00029117	-8.33517e-006	-2.48474e-006
0.68	-0.00039279	-1.00451e-005	-2.53069e-006
0.685	-0.00021951	-1.15758e-005	-2.58474e-006
0.69	0.00011874	-1.18277e-005	-2.64325e-006
0.695	0.00040645	-1.05148e-005	-2.69911e-006
0.7	0.00054656	-8.13224e-006	-2.74572e-006
0.705	0.00054246	-5.40969e-006	-2.77958e-006
0.71	0.00040751	-3.03477e-006	-2.80069e-006
0.715	0.0001234	-1.70749e-006	-2.81255e-006
0.72	-0.00022322	-1.95704e-006	-2.82171e-006
0.725	-0.00046556	-3.67899e-006	-2.8358e-006
0.73	-0.00044521	-5.95592e-006	-2.85988e-006
