time	acc	vel	disp
0.54	0.000961651	0.000893763	7.49198e-005
0.545	-0.000852413	0.000894036	7.93893e-005
0.55	-0.00256588	0.00088549	8.38381e-005
0.555	-0.00410607	0.00086881	8.82239e-005
0.56	-0.0054352	0.000844957	9.25083e-005
0.565	-0.00654707	0.000815001	9.66582e-005
0.57	-0.00745027	0.000780008	0.000100646
0.575	-0.00816041	0.000740981	0.000104448
0.58	-0.00870504	0.000698818	0.000108048
0.585	-0.00911939	0.000654256	0.00011143
0.59	-0.00944318	0.00060785	0.000114586
0.595	-0.00971462	0.000559956	0.000117505
0.6	-0.00996625	0.000510753	0.000120182
0.605	-0.0102228	0.000460281	0.000122609
0.61	-0.0104992	0.000408476	0.000124781
0.615	-0.0108021	0.000355222	0.000126691
0.62	-0.0111301	0.000300392	0.00012833
0.625	-0.0114772	0.000243874	0.00012969
0.63	-0.0118395	0.000185582	0.000130764
0.635	-0.0122359	0.000125393	0.000131541
0.64	-0.0127068	6.30364e-005	0.000132012
0.645	-0.0132904	-1.95661e-006	0.000132165
0.65	-0.014016	-7.02226e-005	0.000131985
0.655	-0.0148974	-0.000142506	0.000131453
0.66	-0.0159337	-0.000219584	0.000130548
0.665	-0.0171107	-0.000302195	0.000129243
0.67	-0.018407	-0.000390989	0.00012751
0.675	-0.0197979	-0.000486502	0.000125317
0.68	-0.021239	-0.000589094	0.000122628
0.685	-0.0226201	-0.000698741	0.000119408
0.69	-0.0237731	-0.000814724	0.000115624
0.695	-0.0245478	-0.000935527	0.000111249
0.7	-0.0248428	-0.001059	0.000106262
0.705	-0.024621	-0.00118266	0.000100658
0.71	-0.0239008	-0.00130397	9.44416e-005
0.715	-0.0227436	-0.00142058	8.76302e-005
0.72	-0.0212424	-0.00153054	8.02524e-005
0.725	-0.0194786	-0.00163235	7.23452e-005
0.73	-0.01747	-0.00172472	6.39526e-005
0.735	-0.0151899	-0.00180637	5.51248e-005
0.74	-0.0126009	-0.00187584	4.59193e-005
0.745	-0.00967426	-0.00193153	3.64009e-005
0.75	-0.00640086	-0.00197172	2.66427e-005
0.755	-0.00279373	-0.00199471	1.67267e-005
0.76	0.000946837	-0.00199932	6.7416e-006
0.765	0.00432237	-0.00198615	-3.22209e-006
0.77	0.0067287	-0.00195852	-1.30838e-005
0.775	0.00766386	-0.00192254	-2.27864e-005
0.78	0.00682631	-0.00188632	-3.23086e-005
0.785	0.00412881	-0.00185893	-4.16717e-005
0.79	-0.000718514	-0.0018504	-5.0945e-005
0.795	-0.00838167	-0.00187315	-6.02539e-005
0.8	-0.0190493	-0.00194173	-6.97911e-005
0.805	-0.0320949	-0.00206959	-7.98194e-005
0.81	-0.0464588	-0.00226598	-9.06583e-005
0.815	-0.0610271	-0.00253469	-0.00010266
0.82	-0.0748508	-0.00287438	-0.000116183
0.825	-0.0872737	-0.0032797	-0.000131568
0.83	-0.0977914	-0.00374236	-0.000149123
0.835	-0.105901	-0.00425159	-0.000169108
0.84	-0.111241	-0.00479445	-0.000191723
0.845	-0.113719	-0.00535685	-0.000217101
0.85	-0.113523	-0.00592495	-0.000245306
0.855	-0.111068	-0.00648643	-0.000276334
0.86	-0.106901	-0.00703135	-0.000310129
0.865	-0.101606	-0.00755262	-0.000346589
0.87	-0.0957247	-0.00804595	-0.000385585
0.875	-0.0896936	-0.00850949	-0.000426974
0.88	-0.0838179	-0.00894327	-0.000470605
0.885	-0.0784139	-0.00934885	-0.000516336
0.89	-0.0739212	-0.00972969	-0.000564032
0.895	-0.0707659	-0.0100914	-0.000613585
0.9	-0.0692178	-0.0104414	-0.000664917
0.905	-0.069347	-0.0107878	-0.00071799
0.91	-0.0710286	-0.0111387	-0.000772806
0.915	-0.074008	-0.0115013	-0.000829406
0.92	-0.0779441	-0.0118812	-0.000887862
0.925	-0.0824891	-0.0122823	-0.000948271
0.93	-0.0873167	-0.0127068	-0.00101074
0.935	-0.0920943	-0.0131553	-0.0010754
0.94	-0.0962043	-0.0136261	-0.00114235
0.945	-0.0988262	-0.0141136	-0.0012117
0.95	-0.0992911	-0.0146089	-0.00128351
0.955	-0.0972129	-0.0151002	-0.00135778
0.96	-0.0925286	-0.0155745	-0.00143447
0.965	-0.0854584	-0.0160195	-0.00151345
0.97	-0.0764203	-0.0164242	-0.00159456
0.975	-0.0660757	-0.0167804	-0.00167757
0.98	-0.0552657	-0.0170838	-0.00176223
0.985	-0.0447896	-0.0173339	-0.00184828
0.99	-0.0352607	-0.0175341	-0.00193545
0.995	-0.0270371	-0.0176898	-0.00202351
1	-0.0202159	-0.0178079	-0.00211225
1.005	-0.0146826	-0.0178952	-0.00220151
1.01	-0.0101598	-0.0179573	-0.00229114
1.015	-0.00630071	-0.0179984	-0.00238103
1.02	-0.00273194	-0.018021	-0.00247108
1.025	0.000878178	-0.0180257	-0.0025612
1.03	0.00523836	-0.0180104	-0.00265129
1.035	0.0114155	-0.0179687	-0.00274123
1.04	0.0203182	-0.0178894	-0.00283088
1.045	0.0325242	-0.0177573	-0.00292
1.05	0.0481734	-0.0175556	-0.00300828
1.055	0.066903	-0.0172679	-0.00309534
1.06	0.0876922	-0.0168814	-0.00318071
1.065	0.109179	-0.0163892	-0.00326389
1.07	0.13006	-0.0157911	-0.00334434
1.075	0.149347	-0.0150926	-0.00342155
1.08	0.166446	-0.0143031	-0.00349504
1.085	0.181063	-0.0134343	-0.00356438
1.09	0.192697	-0.0124999	-0.00362922
1.095	0.200664	-0.0115165	-0.00368926
1.1	0.204547	-0.0105035	-0.00374431
1.105	0.20428	-0.00948143	-0.00379427
1.11	0.200229	-0.00847016	-0.00383915
1.115	0.192992	-0.00748711	-0.00387904
1.12	0.183468	-0.00654596	-0.00391412
1.125	0.172728	-0.00565547	-0.00394463
1.13	0.161804	-0.00481914	-0.00397081
1.135	0.151526	-0.00403582	-0.00399295
1.14	0.142426	-0.00330094	-0.00401129
1.145	0.13472	-0.00260807	-0.00402607
1.15	0.128359	-0.00195038	-0.00403746
1.155	0.123089	-0.00132176	-0.00404564
1.16	0.11855	-0.000717659	-0.00405074
1.165	0.114343	-0.000135427	-0.00405287
1.17	0.110328	0.000426252	-0.00405215
